,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
94,15,1.5,0,94,Baseline,dikesnet,0.0,0.0,A.1,283.3450368578619,10.0,0.6017849151760037,0,0,0,47891666.43856475,0.023017566953272336,108
95,79,4.5,0,95,Baseline,dikesnet,0.0,0.0,A.1,165.43387520449267,10.0,0.019311585421828256,0,0,0,661475295.5626984,0.6256319879522628,108
96,63,1.5,0,96,Baseline,dikesnet,0.0,0.0,A.1,244.13520522972044,10.0,0.36759655653996964,0,0,0,820413315.5090406,0.3678841713569851,108
97,9,1.5,0,97,Baseline,dikesnet,0.0,0.0,A.1,239.8313043452083,1.5,0.7968307984262243,0,0,0,0.0,0.0,108
98,67,4.5,0,98,Baseline,dikesnet,0.0,0.0,A.1,320.44650999166544,1.5,0.6879125320467829,0,0,0,10262477.048611535,0.010757031742938029,108
99,125,4.5,0,99,Baseline,dikesnet,0.0,0.0,A.1,69.30776054116366,10.0,0.8601723225346444,0,0,0,0.0,0.0,108
100,74,1.5,4,0,GEL_OP_v1(0),dikesnet,205800000.0,2263.6400772870516,A.1,274.3009006354014,1.0,0.43452214111948917,1,4,47847947,0.0,0.0,108
101,73,3.5,4,1,GEL_OP_v1(0),dikesnet,205800000.0,581.5009135089447,A.1,349.08275856055036,1.0,0.4061597037472546,1,4,47847947,0.0,0.0,108
102,81,1.5,4,2,GEL_OP_v1(0),dikesnet,205800000.0,6282.1756162921865,A.1,316.9763741052865,1.0,0.14304323715440906,1,4,47847947,0.0,0.0,108
103,7,2.5,4,3,GEL_OP_v1(0),dikesnet,205800000.0,2907.5994591342605,A.1,107.13324728605383,10.0,0.3822602872779956,1,4,47847947,0.0,0.0,108
104,101,2.5,4,4,GEL_OP_v1(0),dikesnet,205800000.0,1410.1051738617348,A.1,295.6348078845713,1.5,0.9661869396619875,1,4,47847947,0.0,0.0,108
105,64,1.5,4,5,GEL_OP_v1(0),dikesnet,205800000.0,39601.77969710268,A.1,83.62866912339442,10.0,0.5836299025942504,1,4,47847947,0.0,0.0,108
106,26,1.5,4,6,GEL_OP_v1(0),dikesnet,205800000.0,22283.66861274102,A.1,161.84112041726104,1.5,0.2838159609922954,1,4,47847947,0.0,0.0,108
107,128,4.5,4,7,GEL_OP_v1(0),dikesnet,205800000.0,4698.036725121974,A.1,309.41978579940064,10.0,0.10772598377070529,1,4,47847947,0.0,0.0,108
108,41,2.5,4,8,GEL_OP_v1(0),dikesnet,205800000.0,28260.255640378004,A.1,199.1179442579429,1.0,0.9271572519821947,1,4,47847947,0.0,0.0,108
109,85,4.5,4,9,GEL_OP_v1(0),dikesnet,205800000.0,5962.081067170808,A.1,150.25721361453188,1.5,0.7359252170864822,1,4,47847947,0.0,0.0,108
110,94,2.5,4,10,GEL_OP_v1(0),dikesnet,205800000.0,668.712076494585,A.1,279.0747812960894,10.0,0.46024015998647316,1,4,47847947,0.0,0.0,108
111,113,4.5,4,11,GEL_OP_v1(0),dikesnet,205800000.0,39558.441360729674,A.1,266.9473656149054,10.0,0.6256635528663518,1,4,47847947,0.0,0.0,108
